lr-AdamW,step,val_loss_clf,val_acc,val_loss_total,epoch,train_loss_clf,train_acc,train_loss_total
,3450,0.3652264177799225,0.9171516299247742,0.3652264177799225,118,,,
,3450,,,,118,0.10353528708219528,0.9654094576835632,0.10353528708219528
0.0009071349641549089,3451,,,,,,,
,3479,0.3098645806312561,0.9312368631362915,0.3098645806312561,119,,,
,3479,,,,119,0.09814019501209259,0.9679957032203674,0.09814019501209259
0.0009130316660888124,3480,,,,,,,
,3508,0.2572980523109436,0.933510959148407,0.2572980523109436,120,,,
,3508,,,,120,0.09703266620635986,0.9672414064407349,0.09703266620635986
0.0009187536496155237,3509,,,,,,,
,3537,0.263917475938797,0.9304054379463196,0.263917475938797,121,,,
,3537,,,,121,0.08854972571134567,0.970366358757019,0.08854972571134567
0.0009242983710828794,3538,,,,,,,
,3566,0.294119656085968,0.9453220367431641,0.294119656085968,122,,,
,3566,,,,122,0.09414266049861908,0.970366358757019,0.09414266049861908
0.0009296633656388416,3567,,,,,,,
,3595,0.3824843764305115,0.9134348034858704,0.3824843764305115,123,,,
,3595,,,,123,0.08172842860221863,0.9739224314689636,0.08172842860221863
0.0009348462483272239,3596,,,,,,,
,3624,0.3475058674812317,0.9171516299247742,0.3475058674812317,124,,,
,3624,,,,124,0.08944274485111237,0.9705818891525269,0.08944274485111237
0.0009398447151479012,3625,,,,,,,
,3653,0.3112325668334961,0.9304054379463196,0.3112325668334961,125,,,
,3653,,,,125,0.08911534398794174,0.9702585935592651,0.08911534398794174
0.0009446565440810294,3654,,,,,,,
,3682,0.3284761905670166,0.9287425875663757,0.3284761905670166,126,,,
,3682,,,,126,0.08295577019453049,0.9731680750846863,0.08295577019453049
0.0009492795960748236,3683,,,,,,,
,3711,0.3282088041305542,0.9233627319335938,0.3282088041305542,127,,,
,3711,,,,127,0.08468122035264969,0.9730603694915771,0.08468122035264969
0.0009537118159964527,3712,,,,,,,
,3740,0.31491121649742126,0.9163202047348022,0.31491121649742126,128,,,
,3740,,,,128,0.0842239037156105,0.971875011920929,0.0842239037156105
0.000957951233545628,3741,,,,,,,
,3769,0.42279091477394104,0.9210885763168335,0.42279091477394104,129,,,
,3769,,,,129,0.09367196261882782,0.9688577651977539,0.09367196261882782
0.0009619959641304823,3770,,,,,,,
,3798,0.26243066787719727,0.9264684915542603,0.26243066787719727,130,,,
,3798,,,,130,0.07667911052703857,0.9764008522033691,0.07667911052703857
0.0009658442097053453,3799,,,,,,,
,3827,0.28966212272644043,0.9241942167282104,0.28966212272644043,131,,,
,3827,,,,131,0.08415010571479797,0.9719827771186829,0.08415010571479797
0.0009694942595700493,3828,,,,,,,
,3856,0.3258889317512512,0.9287425875663757,0.3258889317512512,132,,,
,3856,,,,132,0.07928118854761124,0.9758620858192444,0.07928118854761124
0.0009729444911304021,3857,,,,,,,
,3885,0.2689940333366394,0.9326795339584351,0.2689940333366394,133,,,
,3885,,,,133,0.07981131225824356,0.975107729434967,0.07981131225824356
0.0009761933706194974,3886,,,,,,,
,3914,0.30702194571495056,0.9343423843383789,0.30702194571495056,134,,,
,3914,,,,134,0.08299873769283295,0.9725215435028076,0.08299873769283295
0.000979239453779535,3915,,,,,,,
,3943,0.3374806344509125,0.9351738095283508,0.3374806344509125,135,,,
,3943,,,,135,0.07068759948015213,0.978232741355896,0.07068759948015213
0.0009820813865038516,3944,,,,,,,
,3972,0.2383228838443756,0.9326795339584351,0.2383228838443756,136,,,
,3972,,,,136,0.07682037353515625,0.975215494632721,0.07682037353515625
0.0009847179054388762,3973,,,,,,,
,4001,0.3679613173007965,0.9138259887695312,0.3679613173007965,137,,,
,4001,,,,137,0.079612597823143,0.9738146662712097,0.079612597823143
0.000987147838545741,4002,,,,,,,
,4030,0.3105688691139221,0.9132146835327148,0.3105688691139221,138,,,
,4030,,,,138,0.07799971103668213,0.9745689630508423,0.07799971103668213
0.0009893701056213004,4031,,,,,,,
,4059,0.38971930742263794,0.9194257855415344,0.38971930742263794,139,,,
,4059,,,,139,0.08196351677179337,0.9732758402824402,0.08196351677179337
0.0009913837187783248,4060,,,,,,,
,4088,0.32572701573371887,0.9256370663642883,0.32572701573371887,140,,,
,4088,,,,140,0.07003127038478851,0.9781249761581421,0.07003127038478851
0.0009931877828846562,4089,,,,,,,
,4117,0.285468727350235,0.9374480247497559,0.285468727350235,141,,,
,4117,,,,141,0.06512231379747391,0.976508617401123,0.06512231379747391
0.00099478149596113,4118,,,,,,,
,4146,0.22315660119056702,0.951533317565918,0.22315660119056702,142,,,
,4146,,,,142,0.08191230893135071,0.9742456674575806,0.08191230893135071
0.0009961641495380878,4147,,,,,,,
,4175,0.35247713327407837,0.9140461087226868,0.35247713327407837,143,,,
,4175,,,,143,0.06857454031705856,0.976508617401123,0.06857454031705856
0.0009973351289703201,4176,,,,,,,
,4204,0.35480886697769165,0.9272997975349426,0.35480886697769165,144,,,
,4204,,,,144,0.06659917533397675,0.9787715673446655,0.06659917533397675
0.0009982939137103016,4205,,,,,,,
,4233,0.3051989674568176,0.926688551902771,0.3051989674568176,145,,,
,4233,,,,145,0.0704696774482727,0.9776939749717712,0.0704696774482727
0.0009990400775395948,4234,,,,,,,
,4262,0.3660375773906708,0.933510959148407,0.3660375773906708,146,,,
,4262,,,,146,0.07212265580892563,0.9761853218078613,0.07212265580892563
0.0009995732887583214,4263,,,,,,,
,4291,0.31537795066833496,0.918814480304718,0.31537795066833496,147,,,
,4291,,,,147,0.07360898703336716,0.9774784445762634,0.07360898703336716
0.0009998933103326168,4292,,,,,,,
,4320,0.29703405499458313,0.9123832583427429,0.29703405499458313,148,,,
,4320,,,,148,0.06723063439130783,0.9776939749717712,0.06723063439130783
0.001,4321,,,,,,,
,4349,0.36972177028656006,0.9140461087226868,0.36972177028656006,149,,,
,4349,,,,149,0.06652488559484482,0.9784482717514038,0.06652488559484482
0.0009999798581660031,4350,,,,,,,
,4378,0.2581518292427063,0.9413850903511047,0.2581518292427063,150,,,
,4378,,,,150,0.06426311284303665,0.9795258641242981,0.06426311284303665
0.0009999194342867933,4379,,,,,,,
,4407,0.3399786949157715,0.9250256419181824,0.3399786949157715,151,,,
,4407,,,,151,0.06521434336900711,0.9773706793785095,0.06521434336900711
