lr-AdamW,step,train_loss_clf,train_acc,train_loss_total,epoch,val_loss_clf,val_acc,val_loss_total
,2335,0.10702167451381683,0.95849609375,0.10702167451381683,145,,,
,2335,,,,145,0.11467961221933365,0.9569230675697327,0.11467961221933365
0.0005837547766399216,2336,,,,,,,
,2351,0.11163079738616943,0.9619140625,0.11163079738616943,146,,,
,2351,,,,146,0.08209753036499023,0.9723077416419983,0.08209753036499023
0.0005745228350035547,2352,,,,,,,
,2367,0.09428796172142029,0.96923828125,0.09428796172142029,147,,,
,2367,,,,147,0.07755078375339508,0.9753845930099487,0.07755078375339508
0.0005652648350576414,2368,,,,,,,
,2383,0.08473025262355804,0.97021484375,0.08473025262355804,148,,,
,2383,,,,148,0.08730930089950562,0.9723077416419983,0.08730930089950562
0.0005559840141227016,2384,,,,,,,
,2399,0.10274825245141983,0.96533203125,0.10274825245141983,149,,,
,2399,,,,149,0.12267014384269714,0.9599999785423279,0.12267014384269714
0.0005466836174992583,2400,,,,,,,
,2415,0.09763894230127335,0.96630859375,0.09763894230127335,150,,,
,2415,,,,150,0.08352406322956085,0.9661538600921631,0.08352406322956085
0.0005373668973330249,2416,,,,,,,
,2431,0.0848754271864891,0.96826171875,0.0848754271864891,151,,,
,2431,,,,151,0.11255675554275513,0.9569230675697327,0.11255675554275513
0.0005280371114777014,2432,,,,,,,
,2447,0.12318480014801025,0.955078125,0.12318480014801025,152,,,
,2447,,,,152,0.08862020820379257,0.9630769491195679,0.08862020820379257
0.0005186975223557743,2448,,,,,,,
,2463,0.09165187180042267,0.96533203125,0.09165187180042267,153,,,
,2463,,,,153,0.10951049625873566,0.9599999785423279,0.10951049625873566
0.0005093513958177182,2464,,,,,,,
,2479,0.1109997034072876,0.96044921875,0.1109997034072876,154,,,
,2479,,,,154,0.09604501724243164,0.9692308306694031,0.09604501724243164
0.0005000019999999999,2480,,,,,,,
,2495,0.08165041357278824,0.970703125,0.08165041357278824,155,,,
,2495,,,,155,0.10976516455411911,0.9661538600921631,0.10976516455411911
0.0004906526041822817,2496,,,,,,,
